feature,importance,std
Fwd Byts/b Avg,0.10619999999999999,0.002462519035459438
Dst Port,0.03111999999999998,0.001062826420446903
Fwd Pkts/s,0.018439999999999977,0.001130663522008224
Pkt Len Std,0.017759999999999963,0.0012893409169029081
Fwd Pkt Len Std,0.016659999999999973,0.0013683566786477975
Fwd Pkt Len Max,0.015419999999999967,0.0010254754994635563
Fwd IAT Max,0.007739999999999992,0.0010239140588936028
Protocol,0.006499999999999983,0.0009348796714016364
Fwd IAT Mean,0.0063599999999999655,0.0008138795979750108
RST Flag Cnt,0.0043199999999999905,0.0007493997598078016
Fwd IAT Tot,0.004199999999999959,0.0006870225614926958
Flow IAT Max,0.003959999999999975,0.0010762899237658967
Fwd PSH Flags,0.003599999999999981,0.0009208691546577141
CWE Flag Count,0.0030999999999999917,0.0006148170459575876
Pkt Len Max,0.0028799999999999937,0.0007166589146867546
Pkt Len Var,0.002819999999999978,0.0005249761899362791
Bwd Pkt Len Min,0.0026599999999999736,0.00048207883172775
ECE Flag Cnt,0.002519999999999989,0.0005810335618533422
Fwd URG Flags,0.00229999999999998,0.00045825756949560383
Fwd Pkt Len Mean,0.002259999999999973,0.00034698703145794957
Bwd Pkts/s,0.0022199999999999776,0.0003515679166249381
Bwd PSH Flags,0.0012599999999999834,0.00038000000000000897
SYN Flag Cnt,0.001179999999999981,0.0001661324772583432
Src Port,0.001079999999999981,0.00032496153618542583
Pkt Len Mean,0.0009199999999999875,0.0002856571371417229
Fwd Header Len,0.0008399999999999852,0.00023323807579383012
URG Flag Cnt,0.0008199999999999763,0.00040447496832312973
Fwd Pkt Len Min,0.0007999999999999785,0.00028284271247463495
Flow IAT Mean,0.0006999999999999562,0.00016124515496600142
Bwd Pkt Len Std,0.0006799999999999806,0.00036000000000000967
Flow Byts/s,0.0005799999999999694,0.00030265491900843664
ACK Flag Cnt,0.000519999999999976,0.0002712931993250234
Flow Pkts/s,0.0004999999999999672,0.00018439088914587356
Bwd IAT Mean,0.00047999999999996933,0.00020396078054372375
Flow IAT Min,0.00041999999999996484,0.00018867962264113367
FIN Flag Cnt,0.00041999999999996484,0.00016613247725836858
Bwd Header Len,0.00041999999999996484,0.00018867962264113367
Fwd Blk Rate Avg,0.0004199999999999537,5.9999999999993395e-05
TotLen Bwd Pkts,0.00037999999999995817,0.00010770329614267822
Flow IAT Std,0.00029999999999997807,0.00028635642126552266
Bwd Blk Rate Avg,0.00027999999999998024,0.00018330302779824494
Subflow Fwd Byts,0.00027999999999998024,0.00022271057451320227
Fwd Pkts/b Avg,0.00023999999999998466,0.0002154065922853853
Bwd URG Flags,0.00017999999999998017,0.0001661324772583432
Fwd Seg Size Avg,0.00017999999999998017,0.0001661324772583432
Pkt Len Min,0.00015999999999998237,0.00019595917942263267
Tot Bwd Pkts,0.00015999999999998237,0.00017435595774160773
Bwd Seg Size Avg,0.0001399999999999846,0.00015620499351811588
Bwd Pkt Len Mean,0.00011999999999998679,0.0001326649916142014
Fwd IAT Std,0.00011999999999998679,0.0001326649916142014
Bwd IAT Tot,9.999999999998899e-05,0.0001341640786499726
Subflow Bwd Pkts,9.999999999998899e-05,0.0001341640786499726
Subflow Fwd Pkts,9.999999999998899e-05,0.00016124515496595323
Subflow Bwd Byts,7.999999999999118e-05,0.00013266499161420137
Bwd IAT Max,7.999999999999118e-05,0.00013266499161420137
Flow Duration,7.999999999999118e-05,0.00013266499161420137
Tot Fwd Pkts,7.999999999999118e-05,9.797958971131634e-05
Bwd IAT Std,7.999999999999118e-05,0.00013266499161420137
Fwd IAT Min,5.9999999999993395e-05,9.165151389910672e-05
Bwd Pkt Len Max,5.9999999999993395e-05,9.165151389910672e-05
Bwd IAT Min,5.9999999999993395e-05,9.165151389910672e-05
Down/Up Ratio,1.9999999999997796e-05,5.999999999999339e-05
Bwd Pkts/b Avg,1.9999999999997796e-05,5.999999999999339e-05
TotLen Fwd Pkts,0.0,0.0
PSH Flag Cnt,0.0,0.0
Pkt Size Avg,0.0,0.0
Bwd Byts/b Avg,0.0,0.0
