feature,score
Fwd Header Len,0.4246384898388895
Bwd Header Len,0.42389803695144
Dst Port,0.41138914956941885
Pkt Len Max,0.3829904248941136
Pkt Len Std,0.3692840918147853
Pkt Len Var,0.3689545223002604
Subflow Bwd Byts,0.34231763624456635
Tot Fwd Pkts,0.31279400529631873
Bwd Pkt Len Std,0.3065192693800771
Fwd Pkt Len Max,0.3006665950958529
TotLen Fwd Pkts,0.2920140239171163
Protocol,0.2557364554135575
Fwd Pkts/s,0.2410289148122262
Src Port,0.2367522216038762
Flow Byts/s,0.2170132851543689
Init Bwd Win Byts,0.21536281273168
Flow Pkts/s,0.21252926350269674
Bwd Pkt Len Min,0.19061193845210211
Flow Duration,0.18614019318253194
Down/Up Ratio,0.17938898975783357
Fwd Pkt Len Min,0.17428164554820014
Flow IAT Min,0.15969182677521654
Fwd Act Data Pkts,0.14548020397022499
Bwd IAT Min,0.12363973138023532
Fwd IAT Max,0.09590584619452436
Fwd IAT Tot,0.09093625137774475
Fwd IAT Mean,0.07942705215756751
Idle Max,0.06727471422437525
Active Max,0.05496925877590875
Active Mean,0.053934801644625274
Fwd IAT Min,0.04423460184829753
Active Min,0.043946298559798036
Idle Std,0.037075361878857516
Active Std,0.036451861712013756
FIN Flag Cnt,0.019184514436833888
ACK Flag Cnt,0.011654255434461858
SYN Flag Cnt,0.011169481447005358
Bwd PSH Flags,0.006408276285022607
Bwd URG Flags,0.0027882996241712643
